par_id,art_id,keyword,country_code,text,label
6814,@@15871684,vulnerable,ke,"['So our case is a moral one, but it is also a practical one. The protections offer to vulnerable people hither are not only an representative for the world. They have also been good for America. The vitrine for the social and economic benefit of policies of protection and welcome as well as the national security arguments need to be progress to more clearly and more effectively than ever. Because they are being questioned to a greater extent than ever.']",0
3577,@@4602441,immigrant,bd,"['Golden Morning regularly unionise "" assault militias "" in which dozens of members would stream the streets, hit any immigrant they saw with club, it said.']",0
6796,@@15457626,vulnerable,sg,"['"" A message has to be sent out that the motor lodge will not condone violence or abuse against the most vulnerable in our society, and this would apply every bit to those, who through their neglect, have made possible the contumely, "" he said.']",1
6372,@@1817046,hopeless,tz,"['Did the plan work as planned or expected? To be honest, the answer is a big NO. Among the understanding the project ended up as a high priced failure were that on some buses the gadgets were soon maliciously tampered with and so became hopelessly defective, while in some cases it was just the usual practice of those supposed to ensure compliance with the law or particular rules and regulations conveniently elected to look the wrong way as motorists misconduct.']",0
1625,@@9364851,women,nz,"['When we comment on the lack of woman on the mission, one man decided to cow dung in with a great joke.']",0
6566,@@18331450,homeless,ph,"['Joey Lina be a typical trapo, to relate homeless person to jobless. This is brainpower of TRAPOS who need to garner ballot. The real cause of homeless in Pinas is overpopulation, depravity / greed by government officials and dysfunctional judicial system.']",1
2603,@@25912760,migrant,ca,"['He say the administration has "" bobble "" family separations. He also cited reports that immigrant have experienced sexual and former abuse at some politics detention facilities and said those held must represent treated humanely.']",3
2810,@@24883791,in-need,ke,"['"" I am appealing for patience from Nairobi residents as we endeavour to ready the dilapidated roads in Nairobi even as we wait for the financial year in order to compensate all areas that be in need of our attention, "" said Sonko.']",0
5273,@@9077918,vulnerable,tz,"['The developed countries have a duty to ease the burden on less highly developed innkeeper state by taking some of the most vulnerable refugees for resettlement. UNHCR has over time urged developed nations to help share the burden by increasing the issue of resettlement places they can offer, with little or no success.']",3
213,@@18288890,refugee,za,"['The diplomatic minister said refugees ofttimes ask authorities why they choose to settle the camp near the biz park and near the Save River, where wild animate being come to drink water.']",0
2011,@@4903884,refugee,in,['Prolific graffiti creative person Banksy has chimed in on the refugee crisis facing Europe once once more - this fourth dimension with a mural featuring Steve Job.'],0
8189,@@288602,vulnerable,ca,['Canadian government crataegus oxycantha be about to step down the only union legislation that focuses on protect our near vulnerable plant and animals.'],0
64,@@13699547,migrant,ke,"[""By AGENCE FRANCE PRESSE, Belgian capital, Belgium, August 5 - - Fears are mounting in the European Unification that its months - old pact with Meleagris gallopavo to curb migrant flows could tumble as a break deepens over Ankara ' s crackdown following a failed coup.""]",0
7771,@@16627885,refugee,jm,"[""WASHINGTON, United States (AFP) - - The United Nations hopes that US President Donald Trump ' s decision to ban refugees is a temporary measure and that they will again be give shelter, its spokesman said Saturday.""]",0
4452,@@20670456,hopeless,in,"['Elton Privy fetches up for an extended cameo that even sees him do some kung fu. The redoubtable Julianne Moore, though, constitute hopelessly miscast as the sadistic baddie whose weapon system of choice is a meat grinder.']",0
4875,@@8869214,poor-families,pk,['This biotic community based developing programme is meant for the successfulness of poorest of the poor families through social mobilisation in rural areas at union council level which be the lowest useable administrative unit in the province.'],0
2915,@@3547446,hopeless,za,"[""But they are n ' thymine hopeless going forrader either? as minimal as that might be? and this was evidence with endeavour from captain Frederick Nsabiyumva as well as striker Nkanyiso Madonsela? who both came close with their efforts.""]",0
8229,@@3234261,homeless,ph,"[""The disaster besides injured more than than 10, 000, police pronounce, and rendered thousands more homeless. The U. N. says the disaster has regard 8. 1 million people - - more than a 4th of Nepal ' s population of 27. octet million - - and that 1. 4 million needed food assistance.""]",1
7661,@@22567062,vulnerable,lk,"['Though age related macular degeneration noted that their processors were not vulnerable to Meltdown and Spectre, Google researchers have carried out a successful demonstration flack on AMD FX and AMD PRO CPUs. In addition, ARM has also substantiate that their Cortex - A processors are vulnerable to lash out. <h> Help is on the way']",0
5304,@@22378047,immigrant,au,['Sole: Atomic number 92. Atomic number 16. memo weakens guidelines for protecting immigrant child in courtroom'],0
615,@@10080106,homeless,jm,"['According to statistics dated Border district 2015, the Board of Supervision (BoS) in the Poor Relief Department recorded unity, 418 homeless person people, up from the 1, 057 who were captured in its point in time survey that was done between Nov 18 and 24 in 2012.']",0
5476,@@18588809,immigrant,sg,"['The great unwashed overstaying their visas make up an estimated forty percent of the eleven meg undocumented immigrants living in the US, information technology reported.']",0
2586,@@4621134,refugee,bd,"[""Cassius marcellus clay Abbas Zafar ' s Gunday is based on the friendship of two boys Bikram and Bala who become refugees during the Bangladesh War of Liberation.""]",0
8326,@@8000129,refugee,my,"['Since more than a million migrants and refugees make it in Europe in 2015, respective European fellow member states have acted to beef up margin security, including introducing boundary line control or constructing border fences.']",0
224,@@3205242,migrant,au,"['Italian republic scaled back the mission after failing to persuade its European partners to help meet it operating costs of $ 12. 5 million per month, amid divisions over whether the mission was unintentionally encouraging migrants to attempt the ford.']",0
2868,@@20370597,in-need,my,"['Azrul also hoped that with access to the drug, the Health Ministry would personify in a better position to work together with non - governmental organisations, patient group and the pharmaceutical sphere towards achieving its goal of ensuring that those in need of Hepatitis C treatment "" can get it and open to make so "".']",0
6059,@@13696599,homeless,ng,"['That is not all. Regarding the quality of life as contain in the Millennium Development Goals, such as access to health care, potable water, electrical energy and reliable infrastructure, the country went from bad to worse. A veritable underclass of desperately poor people, some derelict and homeless was the underside of increased growth and expansion of the millionaire class brandishing secret super acid. Add to this depressing scenario, our late economic convulsions manifested in worsening unemployment, upward spiral in the inflation rate, the abasement of the salaried elite caught in a debacle of lengthening defaults, the virtual wiping out of small scale businesses, and you get a social explosion waiting to happen.']",4
581,@@1764567,migrant,gb,"['Human rights groups have accused the goverment of setting an unrealistic timeframe for the applications programme outgrowth, with some conk out so far as to propose it is a deliberate measure to facilitate the expulsion of large numbers of migrants.']",0
5266,@@1836192,poor-families,tz,['Over half (65 per cent) of mothers did not receive postnatal check upwardly and only 31 per penny were examined within two days as recommended. Most of those who did non receive postnatal services (76 per cent) issue forth from poor families.'],0
1018,@@13772290,women,nz,"[""Eve Macfarlane and Zoe Adlai ewing stevenson are out of the char ' southward double sculls. Exposure: Getty Images""]",0
78,@@17256815,women,lk,"['But Prabha was one of the few fortunate women to have a lot of menage support. "" My husband, parents and siblings all stood by me throughout those difficult times. My husband was a great support. He would segregate my music and staple together the required dosage to be taken at a time, so that I did not over or under eat any medicine. Family support is very crucial, because and so you can damn the world. If the family \' s psychological support is not there, no amount of outside support can help. Adherence is the cardinal word and it is the family who can take the patient to complete the treatment journey. I follow a psychologist; yet none of my coping mechanisms worked. Just imagine the plight of those patients who ingest no treatment literacy and other support "", she said.']",1
3917,@@25348188,migrant,sg,"['"" The government has no comprehensive way of reuniting immigrant kinsfolk, "" organizer Kerry Kennedy tells Yahoo Lifestyle. "" We have heard stories of parents being deported and children world health organization have re - crossed the border alone or distributed to fifteen different states. A lawyer told us that matchless facility is bank on kinsperson photos to reunite families. ""']",0
7588,@@25225520,migrant,my,"['None have been more outspoken, however, than the bishops with dioceses on or near the border between the US and Mexico, where many migrants, grownup as well as children, equal embody held in detention centres in geographic areas where many of the prelates come into contact with families affected.']",0
9303,@@23483683,poor-families,in,"['"" The villages around our campus are not very developed. There is hardly any facility available for youths from poor families. A Jesuit institution like ours is run with an aim to achieve academic excellency. But our institutions accept also encounter a major role in upgrading the academic environment of their surrounding areas, "" vice - chancellor of the exchequer Father Felix Raj say.']",3
4652,@@30081648,poor-families,bd,['It was extend to take newborns from pathetic families as well as whoreson babies.'],1
5715,@@2524199,hopeless,au,"['Perhaps this sounds dispiritedly na? ve, merely the unity of social institutions - - including the health and educational systems - - depends on it.']",0
6669,@@24204894,migrant,sg,"['She said that as Barbadian women had learnt the red sword lily to look for, they were turning away these men, who have turned to immigrants, who were vulnerable because they came hither to find a better life.']",0
5402,@@16069072,migrant,ie,"[""Along with regular tours of America, they also played in the larger dance halls across England during Lententide in the ' 50s, ' sixty and ' 70s. It was these tours or pilgrimages in many ways that had the most profound wffect on the band and on the newly - arrived emigrant, as both suddenly recognised the power of this music, what it stand for and what be being left behind.""]",0
902,@@9026021,disabled,pk,"['During his visit, the COAS was given a detailed briefing on the pilot project of state - of - the - art Visual Rehabilitation Center for visually - handicapped soldiers, which include a computer lab, Braille, and vocational and recreational facilities.']",0
882,@@25569923,poor-families,pk,"['QUETTA: Pakistan Tehreek - e - Insaf (PTI) Balochistan President Yar Muhammad Rind has said that PTI will be victorious on July 25. "" After the victory, education and health sectors bequeath be given proper attention as we shall hand over pens to the children of wretched families, "" said the PTI provincial chairman while addressing a corner meeting in Naseerabad on Mon.']",4
1354,@@255897,poor-families,us,"[""She was right: Food stamps ca n ' t be used to buy diaper. Mothers can non get diapers from a major federal source of support for poor families, the Women Infants and Children Program, either. There was nowhere for Angie to turn. The impracticality of cloth diapers became obvious: She did n ' t have a washer, and her local laundry would n ' t allow her to wash diaper in their machines.""]",3
6587,@@15763716,homeless,sg,"['The initiative see Uber teaming up with local dog shelter SOSD and pet food brand Purina Pro Plan to raise cognisance of homeless dogs in Singapore. While the service is free, Uber said those who opt for the service be encouraged to make a donation to SOSD. All puppies offered in the service are also up for acceptation. <h> Jeshi, Soby, Tate, Sofy will be out on loan for a cuddle on Friday. (Photos: SOSD )']",0
1712,@@4889957,vulnerable,nz,"['"" It \' s about saying how much is vulnerable, how much is it deserving, what is the cost of losing that, what is the cost of retreat or what is the cost if we had to relocate some of that stuff. And what is the toll benefit ratio of that. ""']",0
3444,@@25644613,disabled,bd,"['In a shadow parliament organized by Debate for Democracy at Film Development Corporation (FDC ), the verbaliser say only allocation is not enough to mainstream the disabled single, said a mechanical press spill.']",0
4829,@@3857412,migrant,gb,"['Well nigh one half of young homes construct in the next five years testament go to migrants, Whitehall estimates revealed yesterday.']",0
6240,@@4684212,women,my,"[""Many civil service and authorities departments including school authorities in Europe specifically blackball Muslim women from wear out veils and burqa in their exercise or even to appear in court or work as a teacher, as it is against their country ' s secular laws.""]",0
4382,@@8355531,hopeless,pk,"['Hope and try to understand the total darkness, hopelessness, the cloudy sluggishness and sorrowfulness drizzled with loneliness that they personify going through.']",4
7200,@@3237950,homeless,za,"['Vibracrete slabs at the tip of Plympton Road in Brampton Road were removed by homeless people so that they can sleep next to the railway line line, enunciate a resident. She is now call on Metrorail to repair the fence. PHOTO: astrid februarie']",0
6915,@@23504479,disabled,ie,"['"" Using predictions as \' bricks \' is a great deal gentle and faster than typing phrases letter by letter - - not only for the disabled, only also for elderly people or child.']",0
6723,@@3460693,hopeless,za,"[""Atomic number 53 am not one of those mothers. I had no idea my iPhone came equip with an emoji keyboard. I ' m yet hopeless when I assay to text emoticons. : - (""]",0
1726,@@15659404,in-need,in,"['"" It is an honour to exist selected as a the Queen \' reciprocal ohm Young Leader and represent India. As a person world health organization works on ground to fight hunger and to ensure that excess food is non wasted but instead be given to people in need, this award gives me encouragement to do more and better.']",1
3580,@@20029119,disabled,au,"['The 19th c figure of tough luck is conjured from the smokey dark of industrial Leicester as a young son who \' s drunken father pleads with him to be in the world but not of it - - to tow the line and appear the same as everyone else. Our Elephant Man does n \' t bear the growths and deformities of his historical predecessor, just Daniel Monks is physically disabled, lending so much more gravitas to the tale. He journeys from beneath the comfort of his mother \' s wing, to the hostile streets, to the freak show, until even the tipster rejects him because he "" makes an art form out of loneliness "".']",4
2590,@@20081073,disabled,nz,"[""Answer: It live not even valuate. However, accord to the 2013 census, the unemployment rate of disabled people is 45 per cent. Based on the caf? ' s calculations of equality this would make a cup of coffee cost $. .. yeah nah, I am not going to even try to extrapolate that, but it would be a hard gulp to get down.""]",1
1395,@@21197354,hopeless,nz,"[""Much more needs to comprise done by the government to offer viable alternatives to the car. An additional 12, 000 cars from the Transmission Gully motorway and other road improvements will cause even more congestion in central Wellington, which can not be avoided with hopelessly unsustainable projects such as the Basin Reserve Flyover. .. . It is time the government abandoned its 1960 ' s style transport plans and looked at what has worked overseas. It needs to take a long, backbreaking look at the benefits light rail would take on routes with high user potential.""]",0
2296,@@40015392,migrant,my,"[""Since Salvini ' s League formed a regime with the anti - establishment V Star Movement (M5S) on June 1, the rector make implemented his company ' s hard line on migrants.""]",0
4261,@@10097741,in-need,pk,"['Addressing a training session workshop for ulema and seminary students on Dominicus in Lahore, Ashrafi emphasised that Muslim youths nowadays are desperately in need of intellectual training and ideological guidance; therefore all religious, political organisations and Pakistan Ulema Council should play their persona in this regard. He siad Islamic litigation system could only be enforced in the country by pursuing the teachings of Prophet Muhammad (PBUH ). "" Muhammadanism teaches the lesson of peace, patience and forbearance, but some elements are killing innocent people to defame Islam, "" Ashrafi said.']",0
7548,@@23983586,homeless,gb,"[""Danniella Westbrook is ' homeless ' and protagonist fear her nose is ' rot off ' <enthalpy> ' 1 - gentleman's gentleman - SHOW '""]",0
3387,@@24695955,in-need,ie,['Together they will land more than 70 years of volunteering to the party which celebrates the work of the charities and organisations that have Prince Charles as their patron. They were nominated by their branch manager for all the years spent turn over emotional support to people most in need.'],2
5554,@@2667387,hopeless,za,"['This was also one of our favorite soundtracks from the hopelessly romantic movie Love Jones starring Larenz Tate and the gorgeous Nia Long who is aging so gracefully! A Neo Soul packed album boast hit such as "" Hopeless "" by Dionne Farris and "" The Sweetest Thing "" by Lauryn Hill. So will the Think Like Type a Man Too soundtrack top this previous ternary soundtracks? We \' ll just have to wait and see. (Credit Image: madamanoir. com )']",0
6203,@@15706114,migrant,hk,"['She besides found tabu that public services for new arrivals at the time be only useable to Chinese immigrants. "" I told them it did n \' t stool sense to refer to \' new arrivals \' as mainland Chinese only, but they said it was the government \' s policy, "" she said.']",0
5091,@@70084023,poor-families,ph,"['The grant is expected to boost the capacity of poor families in buying canonical good let in food and household item, whose prices have zoom due to TRAIN.']",0
4334,@@14234795,immigrant,au,['Instead Mr Dastyari focused on his immigrant background and arriving in Australia at the age of four with his parents world health organization flee Persia in the 1980s.'],0
1311,@@23380118,women,nz,"[""Nirmala ' s words, which was forthright, covering emancipation and empowerment of women, drew wide hand clapping. The untested woman spoke with passion.""]",0
3286,@@7449334,vulnerable,in,"['"" This is one of the worst human rights assault against the almost vulnerable subdivision of the women \' s population. It needs urgent care and natural process. ""']",0
3094,@@25407407,migrant,ie,"[""KUALA LUMPUR (Reuters) - - Malaysia ' s new government said on Saturday it is considering amending laws on human trafficking and migrant smuggling scarcely days after the U. Atomic number 16. State Department report a lack of progress in the country ' s efforts to counter traffic in the past year.""]",0
1593,@@4516392,homeless,bd,"['In Chile there are thousands of earthquake resistant housing structures but in Haiti only a few structures are earthquake resistant. Consequently they paid a muckle. Haitian politics reported that an estimated 230, 000 mass had died, 300, 000 had been injured and 1, 000, 000 made homeless making it one of the worst natural disasters in forward looking history.']",0
4638,@@2915278,in-need,ie,"['Chronic back pain refers to pain that lasts longer than three month. While in most cases the cause is mechanical, i. e. it is caused by an injury operating theatre a tune, 3% of cases are caused by an inflammation and this type of back pain needs to be managed differently.']",0
6639,@@19834750,disabled,ph,"['"" It \' s his landing leg and he does n \' t have anything to tauten up against, "" Francona said Thursday before the Indians opened a four - game series against the New York Yankees. "" And he \' s be yanking balls. He \' s hit guys in the leg with sliders. It \' d be pretty cool if fans or yet media could see his willingness and wanting to pitch. It \' s amazing. I just do n \' t think it was fair. I do n \' t think you can just put a guy wire on the disabled list when it \' s convenient.']",0
2687,@@667440,homeless,us,"[""And there may be some help on the direction. The Interagency Council on Homelessness has place a target date of 2020 for ending homelessness among The states ' s families.""]",0
7278,@@19584197,disabled,sg,"[""Case of previous winners that would make the cut under the fresh criteria are Safeticet, a medical lancet that makes blood tests less painful with gentler pricks; and architecture firm Woha ' s Enabling Village, a community space in Redhill which combines retail, lifestyle and grooming to proficient integrate disabled people into the community.""]",0
4241,@@257563,homeless,za,"['On Friday Crataegus oxycantha 3 I got a phone call from a newly homeless house physician, Zanele: "" Law enforcement is back again. They are not only taking our zinc sheets, but directly they are even taking our sails plastic tarpaulins. We do not know what to do. It \' s raining and we have nowhere else to sound. ""']",0
59,@@15973393,in-need,ng,"['We accept been a leader on indeed many fronts, not just on this continent but also in the world - - from our attainment of independence, to our development of a democracy that maintains at its core a pledge of stability and a respect for the rule of law, to our formation of much - needed peacekeeping and other humanitarian missions for other nations in need.']",0
3554,@@19710483,in-need,ie,"[""Family law aid cut will strike those virtually in need, suppose Bar Council <h> ' We have a duty to ensure that access to justice constitute delivered to all member of society '""]",3
7426,@@18295940,refugee,au,"['Restrain guards step in front man of them as refugees chanted "" close down in the mouth offshore "" holding upward their crossed arms.']",0
7251,@@1298109,poor-families,us,['Schott says Illinois has made it easier for families in recent days. And we are now serving more poor families that we use too. Merely she says we still have a long way to go.'],0
6984,@@4532417,women,jm,"['FINANCIALLY stable and eager to put a stop to the ticking of their biological clocks, more and more women are immediately consciously making the decision to become single parents either through with adoption or by becoming significant for men they have no intention of evoke their children with.']",0
3854,@@4026444,in-need,gb,"['Rachid tells Channel 4 News that young Moroccans were not in need of outlets for violent expression, but that Tunisia and Egypt instigate the youth to try their ain authority, with many calling for inbuilt reform.']",0
6285,@@24827308,homeless,bd,"['Hazera Begum still remembers how she had run by from her family in the mid - 1970s as an eight - twelvemonth old. In an attempt to escape from the torture of her stepmother, she initially began her homeless life as a street urchin, @ @']",1
5951,@@14127194,hopeless,nz,"[""I also wrote to Craig Fo and told him that he should be telling Storage locker to declare the ' medical emergency ' instead of knock off time on photo opportunities handing out a few bottles of water. A contribution of $ 100, 000, the advertised WINZ assistance and IRD forego penalty is hopelessly inadequate for business possessor and many people are far too proud or too elderly to consider going to WINZ.""]",0
4196,@@24416439,women,hk,"[""Jihadists are being blamed for the killing of dozens of Tuareg, including women and children, on Mali ' s northeastern border with Niger yet as the second such attack in two days stoked fears of widespread unrest. Former Tuareg rebels and tribal leaders said ii massacres near the town of Anderamboukane by gunmen on minibike left 12 people numb and taken the number of dead to 43 deaths in two day. ..""]",0
4431,@@2480266,poor-families,us,"['In 2010, most 100 percentage of poor families lived with similar creature comforts.']",0
456,@@16586276,hopeless,ke,"[""Jubilee strategian are engineering a ' fear of a Raila presidentship ' and portraying the opposition as hopelessly divided among competing big political party and devoid of a Kenyan agenda.""]",0
2408,@@14788878,immigrant,pk,"['Q. As an immigrant, what do you finger about Trump on the vote? How make out you think it has touch on your children who moved to the US with you, a decade and a half ago, when they were in their teens, and since then birth associated with this country as their home?']",0
182,@@20662129,migrant,ie,"['He had many interests, unity of which live music. He played the piano. He wrote several songs that conveyed the longing for home plate of the emigrant, among them Galway Bay.']",1
2929,@@14098244,disabled,gb,['A small bit of financial backing opened upwardly a world of fun for disabled tiddler at Mabel Pritchard School in Oxford university'],3
7173,@@4408302,immigrant,lk,"['Investigations reveal that a local man of affairs is regard in illicit transport of immigrants to Seychelles islands, while another man of affairs presently under arrest in Seychelles, is operating the illegal immigration into that country. The arrested persons are residents of Matara, Negombo, Maggona and Beruwala.']",0
5219,@@4674893,women,bd,"['The factory was founded under Songkolon Bangladesh Trust on June 24, 2013 with six plain stitch sewing machines and septenary workers. Here the worker, mostly women, were labelled as owners. They were given congenial working environment, profit portion, free lunch, medical assistance and educational support for their fry.']",0
5899,@@15431078,homeless,lk,"['Hunger (food ), homelessness (build materials) and sickness (pharmaceuticals) are some of the easiest areas for exploitative domestic businessmen to produce and sell at high prices under cover of import protection or early perquisite. (Colombo / Nov17 / 2016 )']",0
639,@@4633061,hopeless,my,"['"" For such patients, their future is desolating. They feel hopeless and worthless about their life, as there is no point in keep if it \' s to suffer in pain and misery and that is why self destruction is the best option for them, "" said Dr. Mohd Jamil.']",4
9343,@@18654587,hopeless,ph,"['Lougene has this message to others who may still be hooked on illegal drugs: "" Do n \' t be hopeless because there is hope. You can still change. That \' s wherefore whenever I see on goggle box drug users and dealers that were killed, I say to myself they should have been given a chance to change by bringing them to a seat such as this. ""']",4
771,@@9223008,migrant,bd,"[""Pakistan ' mho insurance towards migrants be over - generous by comparison. It enabled Osama Bin Laden to enter and then reside in the country for years without a visa. It issued an ID card and a passport to the Afghan Taliban leader Mullah Mansoor, and never asked for a receipt.""]",0
3811,@@22041240,in-need,bd,"['One of the largest problems that tend to hold students in need back from achieving their goals is the belief that they are simply see as ordinary scholar, and that their needs are not acknowledge, according to Whitacre.']",1
6767,@@1503783,disabled,au,['modifications to the family car beaver state home personify required to meet the pauperization of a handicapped dependant;'],0
7507,@@7585620,in-need,gh,"[""Fanja go into the secret plan off the back of a 3 - 2 defeat against Salala in the Oman league and the Muscat - based night club are in need of a win after losing their chess opening couple 1 - cypher against Syria ' s Al Jaish.""]",0
1598,@@23269754,migrant,au,"[""Kids of migrants and Indigenous people have a right to speak, grow up with, and celebrate their ain heritage words. On International Mother Language Day, let ' s celebrate that right and the benefits information technology bring in to us all.""]",1
10254,@@10155015,poor-families,ph,"[""The Archdioceses of Cebu and George vancouver in Canada hosted the ' Table of Hope ' banquet on Saturday (Jan xxiii ), where poor families were besides given bags containing tinned sardines, one kilo of rice, and a nursing bottle of water.""]",3
6626,@@13907155,vulnerable,au,['Australian organisations vulnerable to data threats: view'],0
6394,@@10183372,homeless,hk,"['Volunteers are demanding answers from the government as to wherefore they were turned out from donating necessities to temporary homeless shelter during some of the coldest atmospheric condition Hong Kong has seen for decades, the SCMP reports.']",0
227,@@13497239,poor-families,us,"['"" Upper caste men make fun of u.s.. They think our lives do n \' t thing because we be daughters of pitiable families. They always look at us with lustful eyes. ""']",0
1014,@@18952447,homeless,gh,['Heavy storms in the mornings coupled with rag tides let give more than a m homeless particularly in the coastal belt.'],0
1887,@@9171130,women,gb,"['Ramsey, who has worked in the profession for the past eight years, is something of a rarity. Despite UK government attempts to change the gender ratio of instructor in Early Years, 98% of them are women. In no other public sphere department comprise the asymmetry so terrible.']",0
2222,@@19977509,women,nz,"[""My hair had grown back by then, and I looked corresponding a poodle. Crab is a bell curve - some people survive, some people die. But the experience encouraged me to personify true to myself and my making love of women ' s plan.""]",0
2820,@@3460319,migrant,hk,['Pope Francis guide time out from his Sunday blessing to root on Central American governments to find a solution to aid thousands of u - limit Cuban migrants stranded on the border between Costa Rica and Nicaragua. ...'],0
7525,@@2614894,vulnerable,gb,"['The Dragger: targets anyone with a Muslim connectionThe Apprentice: novel to Twitter, they target people with the help of more experienced online abusersThe Disseminator: tweets and retweets messages, pictures, and documents of online anti - Muslim hateThe Impersonator: users with fake profiles they use to target individualsThe Accessory: joins in other conversations to target vulnerable figuresThe Reactive: following a major incident, such as Woolwich, begins a campaign against an soul or groupThe Mover: changes their Twitter account irregular to target individualsThe Professional: has a huge following (and multiple accounts) and launches a major campaign of hate against an individual or group (Awan says Tommy Robinson, the cofounder of the English Defence League, was one such individual )']",0
5540,@@14842136,refugee,ke,"['As an choice to emptying Dadaab, the group is suggesting the establishment of smaller refugee camp inside Kenya, increased resettlement of refugees to tertiary countries and integration of camp house physician into Kenyan communities.']",0
7169,@@22675155,in-need,ng,"['The report says the crisis has leave 8. 5 million people in need of humanist aids in 2017 only in the bad - moved commonwealth of Borno, Adamawa and Yobe.']",0
6174,@@16756706,vulnerable,ng,"['"" I can tell you that the appropriation broadsheet that the president submitted to the National Assembly has so many provisions of estimates that are gear towards bring some succour to Nigerian like the social interventions which targets the most vulnerable and the disadvantaged in the society.']",0
330,@@9859058,vulnerable,in,['( trio) Detail Guidelines stimulate been issued by the Zonal Railway for Monsoon Patrolling and protection of vulnerable bridge circuit / locations.'],0
6664,@@4895844,in-need,lk,"['"" Relative equanimity has retort. .. armed forces from both states have started to withdraw from the frontline, "" the UN Office for the Coordination of Humanitarian Affairs (OCHA) said in a statement, while warning the clashes had affected many people already struggling and in need of aid.']",0
7436,@@17057082,migrant,in,"['Visit America a land of immigrants, Microsoft Corp chief executive Satya Nadella say the US stands for inclusion and diversity and he himself had benefactive role of information technology "" enlighten immigration policy "".']",0
574,@@14575605,homeless,gb,"['"" Then there \' s little things like every Thursday they have a workshop whether it \' s with Sporting Chance or yesterday it was Nitty gritty for More which was teaching them about resuscitating someone if information technology happened in training or a biz. They go out and do volunteering, they feed the homeless, they lead and do life skills, they do their driving lessons here, they do simple repair work around the home, car mechanic oeuvre.']",1
